gvkey,conm,tic,sic,naics,linkprim,liid,linktype,linkid,lpermno,lpermco,USEDFLAG,linkdt,linkenddt,GSECTOR,GGROUP,GIND,GSUBIND,SPCINDCD,SPCSECCD
002111,BECTON DICKINSON & CO,BDX,3841,339112,P,01,LU,2,39642,20284,1,19630925,E,35,3510,351010,35101010,300,905
002136,VERIZON COMMUNICATIONS INC,VZ,4813,517110,P,01,LU,1,65875,20288,1,19840216,E,50,5010,501010,50101020,715,974
002146,BELLSOUTH CORP,BLS,4813,517110,P,01,LU,1,65883,20290,1,19840216,20070131,50,5010,501010,50101020,715,974
002150,BELO CORP  -SER A COM,BLC,4833,515120,P,01,LU,1,65509,5223,1,19811209,E,25,2540,254010,25401020,415,976
002154,BEMIS CO INC,BMS,2670,322221,P,01,LU,2,43772,20292,1,19660913,E,15,1510,151030,15103020,210,970
002184,BEST BUY CO INC,BBY,5731,443112,P,01,LU,1,85914,7506,1,19850531,E,25,2550,255040,25504020,426,976
002193,BEVERLY ENTERPRISES INC,BEV,8051,623110,P,01,LC,4,85640,20300,1,19971216,20060314,35,3510,351020,35102020,289,905
002193,BEVERLY ENTERPRISES INC,BEV,8051,623110,P,01,LC,2,47992,20300,1,19690313,19971203,35,3510,351020,35102020,289,905
002220,BIO-RAD LABORATORIES INC,BIO,3826,334516,P,01,LC,1,61508,655,1,19741018,19820128,35,3520,352030,35203010,230,940
002220,BIO-RAD LABORATORIES INC,BIO,3826,334516,N,02,LC,3,61508,655,1,19820129,E,35,3520,352030,35203010,230,940
002220,BIO-RAD LABORATORIES INC,BIO,3826,334516,P,01,LC,2,61516,655,1,19820129,E,35,3520,352030,35203010,230,940
002226,BIOGEN INC,BGEN,2836,325414,P,01,LU,1,11983,5872,1,19830322,20031128,35,3520,352010,35201010,147,905
002230,BIOMET INC,BMET,3842,339113,P,01,LU,1,18092,5737,1,19821217,20070928,35,3510,351010,35101010,300,905
002255,BLACK & DECKER CORP,BDK,3540,333991,P,01,LU,1,20220,20306,1,19620131,E,25,2520,252010,25201040,270,976
002255,BLACK & DECKER CORP,BDK,3540,333991,C,00X,LU,0,20220,20306,1,19491001,19620130,25,2520,252010,25201040,270,976
002259,BLACK HILLS CORP,BKH,4911,424720,P,01,LU,2,61946,511,1,19721214,E,55,5510,551030,55103010,705,700
002269,BLOCK H & R INC,HRB,7200,541213,P,01,LU,2,49373,20309,1,19691013,E,25,2530,253020,25302020,175,976
002270,ENSCO INTERNATIONAL INC,ESV,1381,213111,P,01,LU,1,62519,559,1,19800228,E,10,1010,101010,10101010,395,935
002282,BOB EVANS FARMS,BOBE,5812,722110,P,01,LU,2,18570,595,1,19721214,E,25,2530,253010,25301040,420,978
002285,BOEING CO,BA,3721,336411,C,00X,LU,0,19561,20315,1,19500101,19620130,20,2010,201010,20101010,110,925
002285,BOEING CO,BA,3721,336411,P,01,LU,1,19561,20315,1,19620131,E,20,2010,201010,20101010,110,925
002312,ROBERT HALF INTL INC,RHI,7363,561320,C,01,LU,2,52230,469,1,19710415,E,20,2020,202020,20202010,457,978
002328,NSTAR,NST,4911,22111,P,01,LC,4,87146,35233,1,19990927,E,55,5510,551030,55103010,705,700
002328,NSTAR,NST,4911,22111,P,01,LC,2,25144,20323,1,19620131,19990824,55,5510,551030,55103010,705,700
002328,NSTAR,NST,4911,22111,C,00X,LC,1,25144,20323,1,19531102,19620130,55,5510,551030,55103010,705,700
002352,BRADY CORP,BRC,3990,339950,P,01,LU,1,18973,7113,1,19840628,E,20,2010,201040,20104010,357,925
002393,BRIGGS & STRATTON,BGG,3510,333618,P,01,LU,1,17961,20330,1,19620131,E,20,2010,201060,20106020,357,925
002393,BRIGGS & STRATTON,BGG,3510,333618,C,00X,LU,0,17961,20330,1,19500101,19620130,20,2010,201060,20106020,357,925
002403,BRISTOL-MYERS SQUIBB CO,BMY,2834,325412,C,00X,LU,0,19393,20331,1,19500101,19620130,35,3520,352020,35202010,280,905
002403,BRISTOL-MYERS SQUIBB CO,BMY,2834,325412,P,01,LU,1,19393,20331,1,19620131,E,35,3520,352020,35202010,280,905
002444,BRUNSWICK CORP,BC,3730,336612,P,01,LU,1,10874,20344,1,19620131,E,25,2520,252020,25202010,475,976
002444,BRUNSWICK CORP,BC,3730,336612,C,00X,LU,0,10874,20344,1,19500101,19620130,25,2520,252020,25202010,475,976
002490,BURLINGTON NORTHERN SANTA FE,BNI,4011,482111,P,01,LU,1,50227,20350,1,19700303,E,20,2030,203040,20304010,610,600
002497,MASTEC INC,MTZ,1623,237130,P,01,LU,2,19880,678,1,19721214,E,20,2010,201030,20103010,180,940
